"id","provaId","numero","materia","assunto","conhecimentoExigido","gabarito","nivelDificuldade","observacoes","areaBloco","enunciado"
"cmpek5dkk000158nbblde7g9e","cmpeipc46000056pdr2h72jrw",2,"Língua Portuguesa","Interpretação de charge","Interpretar a charge em relação à violência contra a mulher e ao papel do Estado.","B","media",NULL,"Linguagens, Códigos e suas Tecnologias",NULL
"cmpek5dkk000458nb61kj8zxc","cmpeipc46000056pdr2h72jrw",5,"Língua Portuguesa","Figuras de linguagem","Identificar o recurso expressivo utilizado em um trecho sobre inclusão digital.","C","media",NULL,"Linguagens, Códigos e suas Tecnologias",NULL
"cmpek5dkk000z58nb1ahqyeg6","cmpeipc46000056pdr2h72jrw",36,"Física","Geração de energia elétrica","Compreender o funcionamento de geradores eletromagnéticos e a Lei de Indução de Faraday.","A","media",NULL,"Ciências da Natureza",NULL
"cmpek5dkk001c58nbd0l7nrun","cmpeipc46000056pdr2h72jrw",50,"Biologia","Biodiversidade e biomas","Identificar biomas brasileiros que são considerados hotspots de biodiversidade e suas características","B","media",NULL,"Ciências da Natureza","Os hotspots de biodiversidade correspondem a regiões da Terra com altíssima concentração de espécies endêmicas e fortemente ameaçadas pela ação humana, conforme conceituação formulada por Norman Myers na década de 1980 e adotada por organizações internacionais."
"cmpek5dkk000558nbj1aap3wq","cmpeipc46000056pdr2h72jrw",6,"Língua Portuguesa","Análise de letra de música","Interpretar a mensagem e os temas abordados na música de um grupo feminino.","D","media",NULL,"Linguagens, Códigos e suas Tecnologias",NULL
"cmpek5dkk000658nbzrotxhf6","cmpeipc46000056pdr2h72jrw",7,"Português","Análise de texto e gramática","Identificar a função de termos em negrito em frases.","D","media",NULL,"Ciências Humanas",NULL
"cmpek5dkk000s58nby9y32jpl","cmpeipc46000056pdr2h72jrw",29,"Matemática","Funções — gráfico e área no plano cartesiano","Calcular a área de um triângulo utilizando coordenadas no plano cartesiano.","B","media",NULL,"Matemática","Considere a função de variável real y = f(x) definida para x ≥ 0 e graficamente representada no sistema cartesiano."
"cmpek5dkk000n58nb52gewl2e","cmpeipc46000056pdr2h72jrw",24,"Matemática","Geometria espacial — áreas e sólidos","Calcular a área de triângulos equiláteros a partir de medidas dadas.","D","media",NULL,"Matemática","Um Pyraminx é um tipo de cubo mágico (ou Cubo de Rubik) com formato de um tetraedro regular em que cada face é formada por 9 pequenos triângulos equiláteros congruentes, como ilustra a figura."
"cmpek5dkk000758nbqw9a39c8","cmpeipc46000056pdr2h72jrw",8,"Português","Análise de estilo e linguagem","Interpretar expressões e recursos estilísticos em um texto.","A","media",NULL,"Ciências Humanas",NULL
"cmpek5dkk000858nbeahb0bd3","cmpeipc46000056pdr2h72jrw",9,"Português","Relação entre textos","Analisar a relação argumentativa entre dois textos.","B","media",NULL,"Ciências Humanas",NULL
"cmpek5dkk000a58nbi92ebtph","cmpeipc46000056pdr2h72jrw",11,"Literatura","Intertextualidade na arte e na literatura","Analisar a relação entre uma pintura e um romance.","D","media",NULL,"Ciências Humanas",NULL
"cmpek5dkk000b58nbab3l39ex","cmpeipc46000056pdr2h72jrw",12,"Literatura","Análise de cordel","Identificar características e influências do cordel na cultura brasileira.","B","media",NULL,"Ciências Humanas",NULL
"cmpek5dkk000c58nbdx0lyvg4","cmpeipc46000056pdr2h72jrw",13,"Português","Análise de texto teatral","Identificar a função poética das didascálias em um texto teatral.","C","media",NULL,"Linguagens",NULL
"cmpek5dkk000d58nbsxedqsdz","cmpeipc46000056pdr2h72jrw",14,"Português","Análise de letras de música","Analisar o efeito das rimas e repetições em uma canção.","D","media",NULL,"Linguagens",NULL
"cmpek5dkk000e58nbn00vvjyq","cmpeipc46000056pdr2h72jrw",15,"Português","Análise de poesia","Interpretar o significado e a relação do sujeito poético com o tempo em um poema.","D","media",NULL,"Linguagens",NULL
"cmpek5dkk000g58nboiewzi7o","cmpeipc46000056pdr2h72jrw",17,"História","História dos videogames","Compreender os motivos que levaram Microsoft a adquirir Halo.","D","media",NULL,"Linguagens",NULL
"cmpek5dkk000i58nb1ubwb1t5","cmpeipc46000056pdr2h72jrw",19,"Inglês","compreensão de texto em inglês","O estudante deve compreender o texto em inglês e identificar os fatores a serem considerados na adoção de um animal de estimação.","A","media",NULL,NULL,"Every year, 6.5 million dogs, cats, and other former pets are abandoned or lost and enter shelters. But of all these animals, only 3.2 million are adopted and many see shelters again after less than a year of finding a new home."
"cmpek5dkk000k58nbntm3chu8","cmpeipc46000056pdr2h72jrw",21,"Matemática","Cálculo de áreas","Calcular a área de um setor circular a partir de informações dadas.","B","dificil",NULL,"Matemática e suas Tecnologias",NULL
"cmpek5dkk000l58nb3kd8n8zy","cmpeipc46000056pdr2h72jrw",22,"Matemática","Trigonometria","Calcular a medida de um segmento utilizando a função cosseno.","A","dificil",NULL,"Matemática e suas Tecnologias",NULL
"cmpek5dkk000h58nbcnfgzuy8","cmpeipc46000056pdr2h72jrw",18,"Biologia","Obesidade e tratamentos","Analisar informações sobre a obesidade e medicamentos utilizados no tratamento.","B","media",NULL,"Ciências da Natureza",NULL
"cmpek5dkk000m58nbju1h35vk","cmpeipc46000056pdr2h72jrw",23,"Matemática","Movimento uniforme","Determinar a velocidade de um carro em um problema de movimento.","B","media",NULL,"Matemática e suas Tecnologias",NULL
"cmpek5dkk000j58nb6rc8k61b","cmpeipc46000056pdr2h72jrw",20,"Inglês","Interpretação de expressões idiomáticas","Compreender o significado de uma expressão utilizada em um diálogo.","C","media",NULL,"Linguagens",NULL
"cmpek5dkk000958nbmafr5tsx","cmpeipc46000056pdr2h72jrw",10,"Português","Interpretação de texto — literatura e entrevista","O estudante precisa compreender o conceito de 'escrevivência' apresentado pela autora e suas implicações.","B","media","Texto-base em português (literatura/interpretação).","Linguagens e Códigos","Na entrevista, a escritora, poetisa, professora e pesquisadora brasileira Conceição Evaristo usa o termo 'escrevivência' para se referir ao processo de"
"cmpek5dkk000o58nb5pcvukh8","cmpeipc46000056pdr2h72jrw",25,"Matemática","Determinantes de matrizes","Analisar propriedades de determinantes de matrizes.","A","media",NULL,"Matemática e suas Tecnologias",NULL
"cmpek5dkk000p58nbvk267k4u","cmpeipc46000056pdr2h72jrw",26,"Matemática","Comprimento de curvas","Calcular o comprimento de uma curva definida por semicírculos.","B","dificil",NULL,"Matemática e suas Tecnologias",NULL
"cmpek5dkk000q58nbkayddmm2","cmpeipc46000056pdr2h72jrw",27,"Matemática","Números complexos","Determinar o perímetro de um triângulo formado por números complexos.","A","dificil",NULL,"Matemática e suas Tecnologias",NULL
"cmpek5dkk000r58nbhlb4z5m0","cmpeipc46000056pdr2h72jrw",28,"Matemática","Probabilidade","Calcular a probabilidade de sorteio em um grupo de turistas.","C","media",NULL,"Matemática e suas Tecnologias",NULL
"cmpek5dkk000t58nbgqbcakgq","cmpeipc46000056pdr2h72jrw",30,"Matemática","Média aritmética","Calcular a média aritmética de um conjunto de dados.","D","media",NULL,"Matemática e suas Tecnologias",NULL
"cmpek5dkk000u58nbvmie3oej","cmpeipc46000056pdr2h72jrw",31,"Biologia","Genética","Calcular frequências genotípicas em uma população.","C","media",NULL,"Ciências da Natureza e suas Tecnologias",NULL
"cmpek5dkk000v58nb70f1fqjh","cmpeipc46000056pdr2h72jrw",32,"Biologia","Interação planta-patógeno","Analisar a relação entre endófitos fúngicos e o cacaueiro.","A","media",NULL,"Ciências da Natureza e suas Tecnologias",NULL
"cmpek5dkk000w58nbhcjnscvq","cmpeipc46000056pdr2h72jrw",33,"Biologia","Evolução e genética","Compreender os conceitos de isolamento reprodutivo e ancestralidade entre espécies.","A","media",NULL,"Ciências da Natureza",NULL
"cmpek5dkk000x58nb7loamaa8","cmpeipc46000056pdr2h72jrw",34,"Biologia","Interações ecológicas","Analisar os efeitos de interações entre organismos em um ecossistema.","D","media",NULL,"Ciências da Natureza",NULL
"cmpek5dkk000y58nb6r8ufa5t","cmpeipc46000056pdr2h72jrw",35,"Biologia","Genética molecular","Identificar diferenças na sequência de aminoácidos entre espécies.","C","media",NULL,"Ciências da Natureza",NULL
"cmpek5dkk001058nbzrpzvqgo","cmpeipc46000056pdr2h72jrw",37,"Física","Calor e temperatura","Calcular a capacidade térmica de um calorímetro a partir de dados experimentais.","C","dificil",NULL,"Ciências da Natureza",NULL
"cmpek5dkk001158nbaypqd6fk","cmpeipc46000056pdr2h72jrw",38,"Física","Radiação eletromagnética","Analisar os efeitos da radiação não ionizante e suas características.","C","media",NULL,"Ciências da Natureza",NULL
"cmpek5dkk001258nbdu08txrl","cmpeipc46000056pdr2h72jrw",39,"Física","Óptica","Identificar o tipo de lente e a natureza da imagem formada.","A","media",NULL,"Ciências da Natureza",NULL
