"id","examId","numero","correto","materiaId","temaId","tipoErro","observacao","provaQuestaoId","respostaAluno"
"cmpeoo2fy000157lbjc8j03e0","cmpeoo2fw000057lbo9wh7g6p",1,True,"portugues","interpretacao_texto",NULL,NULL,"cmpek5dkk000058nb8ixz33yw","B"
"cmpeoo2fy000257lbbwsvyrv5","cmpeoo2fw000057lbo9wh7g6p",2,True,"portugues","interpretacao_texto",NULL,NULL,"cmpek5dkk000158nbblde7g9e","B"
"cmpeoo2fy000357lbae2g7eb5","cmpeoo2fw000057lbo9wh7g6p",3,True,"portugues","interpretacao_texto",NULL,NULL,"cmpek5dkk000258nb1t1pp6sc","C"
"cmpeoo2fy000457lbusrgb3bw","cmpeoo2fw000057lbo9wh7g6p",4,True,"portugues","interpretacao_texto",NULL,NULL,"cmpek5dkk000358nb4ihz8o8x","A"
"cmpeoo2fy000557lbdskdrv44","cmpeoo2fw000057lbo9wh7g6p",5,True,"portugues","interpretacao_texto",NULL,NULL,"cmpek5dkk000458nb61kj8zxc","C"
"cmpeoo2fy000657lbp7j2t4so","cmpeoo2fw000057lbo9wh7g6p",6,True,"portugues","interpretacao_texto",NULL,NULL,"cmpek5dkk000558nbj1aap3wq","D"
"cmpeoo2fy000857lb2vfjf0ed","cmpeoo2fw000057lbo9wh7g6p",8,True,"portugues","interpretacao_texto",NULL,NULL,"cmpek5dkk000758nbqw9a39c8","A"
"cmpeoo2fy000957lb9myepglj","cmpeoo2fw000057lbo9wh7g6p",9,True,"portugues","interpretacao_texto",NULL,NULL,"cmpek5dkk000858nbeahb0bd3","B"
"cmpeoo2fy000a57lbllmki0rp","cmpeoo2fw000057lbo9wh7g6p",10,True,"portugues","interpretacao_texto",NULL,NULL,"cmpek5dkk000958nbmafr5tsx","B"
"cmpeoo2fy000b57lb660ud37i","cmpeoo2fw000057lbo9wh7g6p",11,True,NULL,NULL,NULL,NULL,"cmpek5dkk000a58nbi92ebtph","D"
